Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite4,resnet,SingleStream,173.365789,acc: 80.676,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite4/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite4,resnet,MultiStream,1456.337384,acc: 80.676,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite4/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,efficientnet-fp32-lite4,resnet,Offline,5.80455,acc: 80.676,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/efficientnet-fp32-lite4/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-224,resnet,SingleStream,3.543877,acc: 51.848,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-224/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-224,resnet,MultiStream,29.344992,acc: 51.848,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-224/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-224,resnet,Offline,284.852,acc: 51.848,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-224/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-128,resnet,SingleStream,5.347347,acc: 64.038,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-128/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-128,resnet,MultiStream,44.970552,acc: 64.038,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-128/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-128,resnet,Offline,188.699,acc: 64.038,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-128/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-192,resnet,SingleStream,11.503502,acc: 68.834,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-192/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-192,resnet,MultiStream,96.904856,acc: 68.834,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-192/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v2-precision_float-0.75-192,resnet,Offline,87.7549,acc: 68.834,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v2-precision_float-0.75-192/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-160,resnet,SingleStream,1.835666,acc: 47.810,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-160/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-160,resnet,MultiStream,15.274104,acc: 47.810,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-160/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v1-precision_float-0.25-160,resnet,Offline,552.413,acc: 47.810,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v1-precision_float-0.25-160/offline,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Samples/s,"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v3-precision_float-small-224,resnet,SingleStream,5.773789,acc: 68.336,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v3-precision_float-small-224/singlestream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,0,False,Latency (ms),"fp32"
GATEOverflow,available,open,"edge","i_06a0fc1c2eadb7d9f",aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing,mobilenet-v3-precision_float-small-224,resnet,MultiStream,48.798752,acc: 68.336,1,"Neoverse-N1",1,2,"N/A","0",open/GATEOverflow/results/aws_t4g.large-ctuning_cpp_tflite-cpu-tflite_vmaster-with_live_preprocessing/mobilenet-v3-precision_float-small-224/multistream,"tflite vmaster","Ubuntu 24.04 (linux-6.8.0-1021-aws-glibc2.39)","",1,0,v5.0,1,False,Latency (ms),"fp32"
